question,answer
How do I reset my password?,Visit the IT portal at it.concordia.ca and click Forgot Password to reset via email.
Where is the registrar office?,The registrar office is located in the Hall Building room H-125.
How do I pay tuition?,Tuition can be paid online through the My CU Account finance portal.
How do I contact technical support?,Email iits@concordia.ca or call the helpdesk at 514-848-2424 ext. 7613.
What are the library hours?,The Webster Library is open Monday to Friday 8 AM to 10 PM and weekends 10 AM to 6 PM.
How do I register for courses?,Log into the Student Hub portal and navigate to the Course Registration section.
How can I apply for scholarships?,Visit the Scholarships and Bursaries section on the Concordia financial aid website.
Where can I find my class schedule?,Log into the Student Hub and click on My Schedule under the Academics tab.
How can I get to class?,Check your class schedule and room locations in the Student Hub under My Schedule. For campus directions use the Concordia maps at concordia.ca/maps.
How do I get a student ID card?,Visit the Customer Relations Centre in the Hall Building with a valid photo ID.
What is the deadline to drop a course?,The deadline to drop a course without academic penalty is typically 6 weeks after the start of term.
How do I access my grades?,Grades are posted on the Student Hub under the Academics section after the final exam period.
Where is student health services?,Student health and wellness is located in the Hall Building room H-110.
How do I apply for a leave of absence?,Submit a leave of absence request through the registrar's office or via the Student Hub portal.
How do I get a transcript?,Official transcripts can be ordered online through the Student Hub under Enrolment and Student Records.
Where can I print on campus?,Printing services are available in all library locations and most computer labs across campus.
Where is the Birks Student Service Centre?,The Birks Student Service Centre is at LB-185 in the J.W. McConnell Building at the SGW campus. Call 514-848-2424 ext. 2668 or email students@concordia.ca.
How do I access mental health counselling?,Contact Counselling and Psychological Services at cps.info@concordia.ca or 514-848-2424 ext. 3545. Undergraduate and graduate students can also use Empower Me at 1-855-853-0565.
Where is the International Students Office?,The ISO is in room GM-330 of the Guy-De Maisonneuve Building. Call 514-848-2424 ext. 3515 or email iso@concordia.ca Monday to Friday 9 a.m. to 5 p.m.
How do I register for academic accommodations?,Email your documentation to acsd.intake@concordia.ca with your full name and Concordia ID. The Access Centre for Students with Disabilities will contact you for an intake appointment.
How do I get support after sexual violence?,Contact the Sexual Assault Resource Centre at sarc@concordia.ca or 514-848-2424 ext. 3353. For immediate danger on campus call Campus Security at 514-848-3717 option 1.
Where is Le Gym and what are the hours?,Le Gym is at EV-S2-206 on the SGW campus. Hours are Monday to Friday 6:30 a.m. to 10 p.m. and weekends 8 a.m. to 8 p.m. Call 514-848-2424 ext. 3860.
How do I accept a scholarship or bursary?,Log into the Student Hub and open My CU Account then Student Centre. Under Finances select Accept/Decline Awards and submit your choices for the aid year.
How do I check holds on my student account?,Log into the Student Hub and open My CU Account then Student Centre. View Holds on your account to see what is blocking registration or other services.
Where is the Loyola campus library?,The Vanier Library is on the Loyola campus at 7141 Sherbrooke Street West. It is Concordia's main library on the Loyola side alongside Webster Library downtown.
How do I book a group study room?,Book a group study room through the Concordia Library website at library.concordia.ca using your Concordia account.
How do I contact IT for help?,Email help@concordia.ca or submit a support request through the IT service catalogue at concordia.ca/it. Visit an on-campus IT Service Centre for in-person help.
What is my Concordia student email?,Your Concordia email is your netname followed by @concordia.ca. Set up and manage your netname and accounts through the Student Hub and concordia.ca/it.
Where can I get a medical note for class?,Health Services can provide medical notes when appropriate. Book at 514-848-2424 ext. 3565 (SGW GM-200) or ext. 3575 (Loyola AD-131).
How do I request a refund from my student account?,If awards or payments leave a credit balance log into Student Centre under Finances and request a refund through your account inquiry options.
Where is the Financial Aid and Awards Office?,Visit concordia.ca/students/financial for scholarships bursaries and awards. Accept awards through Student Centre under Finances in My CU Account.
How do I get help with a co-op or internship letter?,Contact the Office of Student Life and Engagement at studentlife@concordia.ca or 514-848-2424 ext. 3517 in the Hall Building room H-659 for convention de stage support.
What should I do in a mental health crisis?,For urgent mental health support call Empower Me at 1-855-853-0565 or Info-Social at 8-1-1. On campus contact Campus Security at 514-848-3717 option 1 if you are in immediate danger.
